source_matrix,variant_id,family,quantization,benchmark,item_id,repetition,difficulty,subcategory,status,local_pass,local_score,local_semantic_outcome,local_semantic_score,local_protocol_outcome,local_protocol_score,local_integration_outcome,adjudication_status,judge_route,route_reason,adjudication_error,label_source,strict_pass,semantic_pass,format_tax
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_arithmeticperc_001,1,easy,arithmetic_percentages,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_ratiosrateswor_001,1,easy,ratios_rates_work,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_algebrawordpro_001,1,easy,algebra_word_problems,completed,False,0.0,incorrect,0.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,False,False,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_numberproperti_001,1,easy,number_properties_sequences,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_calendartime_001,1,easy,calendar_time,completed,False,0.0,incorrect,0.0,compliant,1.0,scored_cleanly,completed,blind_extraction,exact_string_mismatch_does_not_establish_claimed_meaning,,adjudication,False,False,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_probabilitycou_001,1,easy,probability_counting,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_deductivelogic_001,1,easy,deductive_logic,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_orderingconstr_001,1,easy,ordering_constraint_puzzles,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_arithmeticperc_002,1,medium,arithmetic_percentages,completed,True,1.0,correct,1.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,True,True,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_arithmeticperc_003,1,medium,arithmetic_percentages,completed,False,0.0,incorrect,0.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,False,False,False
workloads,llama-3.1-8b-q8,llama3.1,Q8_0,applied_reasoning,reason_arithmeticperc_004,1,medium,arithmetic_percentages,completed,False,0.0,incorrect,0.0,compliant,1.0,scored_cleanly,not_routed,,,,deterministic_or_primary_judge,False,False,False
