family,benchmark,strict_pass_percent,semantic_pass_percent,format_tax_points,n
llama3.1,applied_reasoning,38.02083333333333,39.0625,1.0416666666666665,192
llama3.1,code_debug_repair,40.0,40.625,0.625,320
llama3.1,messy_text_to_schema,27.604166666666668,27.604166666666668,0.0,192
llama3.1,constraint_load_curve,33.85416666666667,41.66666666666667,7.8125,192
llama3.1,tool_use,70.83333333333334,70.83333333333334,0.0,192
llama3.1,long_text_retrieval,75.0,76.04166666666666,1.0416666666666665,192
llama3.1,email_to_action,4.375,4.375,0.0,160
qwen3,applied_reasoning,69.27083333333334,70.3125,1.0416666666666665,192
qwen3,code_debug_repair,41.875,41.875,0.0,320
qwen3,messy_text_to_schema,41.14583333333333,41.14583333333333,0.0,192
qwen3,constraint_load_curve,31.770833333333332,45.3125,13.541666666666666,192
qwen3,tool_use,97.39583333333334,97.39583333333334,0.0,192
qwen3,long_text_retrieval,72.39583333333334,73.4375,1.0416666666666665,192
qwen3,email_to_action,10.625,10.625,0.0,160
mistral,applied_reasoning,17.708333333333336,19.270833333333336,1.5625,192
mistral,code_debug_repair,8.75,22.1875,13.4375,320
mistral,messy_text_to_schema,30.729166666666668,30.729166666666668,0.0,192
mistral,constraint_load_curve,10.416666666666668,30.208333333333332,19.791666666666664,192
mistral,tool_use,7.291666666666667,7.291666666666667,0.0,192
mistral,long_text_retrieval,17.1875,71.35416666666666,54.166666666666664,192
mistral,email_to_action,4.375,4.375,0.0,160
granite,applied_reasoning,41.14583333333333,43.22916666666667,2.083333333333333,192
granite,code_debug_repair,29.375,29.375,0.0,320
granite,messy_text_to_schema,39.0625,39.0625,0.0,192
granite,constraint_load_curve,30.729166666666668,47.91666666666667,17.1875,192
granite,tool_use,73.95833333333334,73.95833333333334,0.0,192
granite,long_text_retrieval,70.3125,70.3125,0.0,192
granite,email_to_action,5.0,5.0,0.0,160
qwen2.5-coder,applied_reasoning,52.604166666666664,54.6875,2.083333333333333,192
qwen2.5-coder,code_debug_repair,48.75,48.75,0.0,320
qwen2.5-coder,messy_text_to_schema,54.6875,54.6875,0.0,192
qwen2.5-coder,constraint_load_curve,25.520833333333332,47.91666666666667,22.395833333333336,192
qwen2.5-coder,tool_use,79.6875,79.6875,0.0,192
qwen2.5-coder,long_text_retrieval,77.08333333333334,77.08333333333334,0.0,192
qwen2.5-coder,email_to_action,13.125,13.125,0.0,160
